"G_D" "G" "G_LCFA" "cluster" "query_G_D" "query_G" "query_G_L"
"transition metal ion transport" 2.50444318077272 2.30501141389384 0.0209146683694794 1 "Rv0969, Rv1239c, Rv1348, Rv1859, Rv1876, Rv1992c, Rv2025c, Rv3270" "Rv0969, Rv1239c, Rv1348, Rv1876, Rv1992c, Rv2025c, Rv3270" "Rv1992c, Rv3270"
"neutral lipid metabolic process" 2.50444318077272 1.18622278044898 0.0209146683694794 1 "Rv0211, Rv1760, Rv2482c, Rv2484c, Rv3088, Rv3130c, Rv3371, Rv3734c" "Rv0211, Rv1760, Rv2482c, Rv3740c" "Rv3371, Rv3740c"
"acylglycerol metabolic process" 2.50444318077272 1.18622278044898 0.0209146683694794 1 "Rv0211, Rv1760, Rv2482c, Rv2484c, Rv3088, Rv3130c, Rv3371, Rv3734c" "Rv0211, Rv1760, Rv2482c, Rv3740c" "Rv3371, Rv3740c"
"triglyceride metabolic process" 2.63029936849468 1.27988228600841 0.10379802642959 1 "Rv0211, Rv1760, Rv2482c, Rv2484c, Rv3088, Rv3130c, Rv3371, Rv3734c" "Rv0211, Rv1760, Rv2482c, Rv3740c" "Rv3371, Rv3740c"
"cellular response to starvation" 1.44081932753123 2.00399080656038 0.335737234615667 1 "Rv0211, Rv1348, Rv1875, Rv2031c, Rv2557, Rv2558, Rv3286c, Rv3402c" "Rv0211, Rv1285, Rv1348, Rv1875, Rv2383c, Rv2384, Rv2386c, Rv2558, Rv2583c, Rv3402c" "Rv1875, Rv2383c, Rv2386c, Rv3402c"
"triglyceride biosynthetic process" 2.63029936849468 1.27988228600841 0.10379802642959 1 "Rv0211, Rv1760, Rv2482c, Rv2484c, Rv3088, Rv3130c, Rv3371, Rv3734c" "Rv0211, Rv1760, Rv2482c, Rv3740c" "Rv3371, Rv3740c"
"cellular response to nutrient levels" 1.44081932753123 2.00399080656038 0.335737234615667 1 "Rv0211, Rv1348, Rv1875, Rv2031c, Rv2557, Rv2558, Rv3286c, Rv3402c" "Rv0211, Rv1285, Rv1348, Rv1875, Rv2383c, Rv2384, Rv2386c, Rv2558, Rv2583c, Rv3402c" "Rv1875, Rv2383c, Rv2386c, Rv3402c"
"glycerolipid biosynthetic process" 2.16781442537684 0.923919193780535 -0.567585611703111 1 "Rv0211, Rv1760, Rv2182c, Rv2482c, Rv2483c, Rv2484c, Rv3088, Rv3130c, Rv3371, Rv3734c" "Rv0211, Rv1760, Rv2482c, Rv2483c, Rv3740c" "Rv3371, Rv3740c"
"positive regulation of transcription, DNA-templated" 2.17358550659402 1.45502696719543 0.253859227623809 1 "Rv1027c, Rv1266c, Rv1365c, Rv1904, Rv2359, Rv2638, Rv2745c, Rv2884, Rv3286c" "Rv0981, Rv1266c, Rv2359, Rv2710, Rv2745c, Rv2884" "Rv0981, Rv1904, Rv2884"
"positive regulation of nucleobase-containing compound metabolic process" 2.32894849308125 1.38426187705513 0.192058117284687 1 "Rv1027c, Rv1266c, Rv1365c, Rv1904, Rv1908c, Rv2359, Rv2638, Rv2745c, Rv2884, Rv3286c" "Rv0981, Rv1266c, Rv2359, Rv2710, Rv2745c, Rv2884" "Rv0981, Rv1904, Rv2884"
"neutral lipid biosynthetic process" 2.63029936849468 1.27988228600841 0.10379802642959 1 "Rv0211, Rv1760, Rv2482c, Rv2484c, Rv3088, Rv3130c, Rv3371, Rv3734c" "Rv0211, Rv1760, Rv2482c, Rv3740c" "Rv3371, Rv3740c"
"acylglycerol biosynthetic process" 2.63029936849468 1.27988228600841 0.10379802642959 1 "Rv0211, Rv1760, Rv2482c, Rv2484c, Rv3088, Rv3130c, Rv3371, Rv3734c" "Rv0211, Rv1760, Rv2482c, Rv3740c" "Rv3371, Rv3740c"
