"description" "OR_GD" "lower_CI_GD" "upper_CI_GD" "FDR_GD" "OR_G" "lower_CI_G" "upper_CI_G" "FDR_G" "OR_GL" "lower_CI_GL" "upper_CI_GL" "FDR_GL"
"6" "transition metal ion transport" 5.67430296132341 1.99963521935467 15.1952041547248 0.0187328942953043 4.94171364476176 1.65900714282432 13.4260712872577 0.0454759550270644 1.01460253372539 0.113746009914767 4.26343645171744 1
"21" "response to reactive oxygen species" 3.87717390657163 1.62731563010668 8.60439184512116 0.0304761305784591 2.56192643758282 0.929404740625511 6.14412806719022 0.38135232684622 1.69956899556193 0.508130394121078 4.51271031975859 1
"31" "DNA-binding transcription repressor activity" 12.6436233553781 1.44408562925667 151.707471544637 0.157586044710191 36.4684624981256 3.60096209538137 1781.38721125195 0.0163460810813455 2.28540528647697 0.0463007081850476 23.1685986352586 1
"34" "response to hypoxia" 3.4106907190857 1.80605722392599 6.17434964186983 0.00673070011931075 2.0616451142842 0.958342374196417 4.06183401803409 0.445583867557749 1.41306171636132 0.575310087571903 3.02499064565087 1
"43" "DNA-binding transcription factor activity" 2.20918796043222 1.33265636948258 3.53763743518911 0.0469173896128361 2.66805507385812 1.63422598390418 4.22525956426268 0.00471966791679672 1.79057122022918 1.0224084429581 2.98695847128084 0.515465202513591
"119" "alcohol metabolic process" 3.23889527831964 1.75509140538987 5.73606809986096 0.006897466914077 1.83364092644253 0.857865893509135 3.58050330618675 0.644081193302047 0.584888465966694 0.153673439691509 1.58743770135539 1
"175" "transcription, DNA-templated" 2.27176125114692 1.54557744841044 3.27853630596157 0.00257639238587591 2.22888900833456 1.49729348428424 3.2502322007872 0.0050809613382267 2.25002785965466 1.51119499304363 3.28128971431831 0.0090778518193151
"179" "regulation of transcription, DNA-templated" 2.34861182733484 1.59599413235216 3.39357099998991 0.0020711169907982 2.30277571965985 1.54537932093227 3.36199044426409 0.00374851221222837 2.24197114391663 1.49812100179833 3.28472239465666 0.0090778518193151
"248" "neutral lipid metabolic process" 5.67430296132341 1.99963521935467 15.1952041547248 0.0187328942953043 2.2755618200528 0.55091470541039 7.10247645107432 0.75646852083916 1.01460253372539 0.113746009914767 4.26343645171744 1
"249" "acylglycerol metabolic process" 5.67430296132341 1.99963521935467 15.1952041547248 0.0187328942953043 2.2755618200528 0.55091470541039 7.10247645107432 0.75646852083916 1.01460253372539 0.113746009914767 4.26343645171744 1
"250" "triglyceride metabolic process" 6.19154462618758 2.1490236990335 17.0058812298089 0.0150375274660567 2.42819163697213 0.583683288118541 7.67240339479348 0.695714083223481 1.07459872128562 0.119966229882008 4.55407571988898 1
"258" "steroid catabolic process" 12.8130582995488 4.04939413834079 43.9775554635719 0.00145442752772095 3.31415064977896 0.765958407335528 11.252460990589 0.478672866429124 0 0 2.54672835589304 1
"259" "cholesterol catabolic process" 12.8130582995488 4.04939413834079 43.9775554635719 0.00145442752772095 3.31415064977896 0.765958407335528 11.252460990589 0.478672866429124 0 0 2.54672835589304 1
"291" "cellular ion homeostasis" 2.98637972899659 0.958660443527678 7.99586151219422 0.280584681817211 7.11253351949811 2.77197804668698 17.6851489130943 0.00346231854795123 2.55540852770857 0.737476760844192 7.19372363145801 0.659821874261533
"292" "cellular metal ion homeostasis" 3.62909702612693 1.13670935295336 10.1202964635851 0.201094837813288 7.54871162817243 2.74679608362114 20.1778962185829 0.00442131279813637 2.29531501343398 0.555637575689478 7.16396074182256 0.848466219466892
"304" "steroid metabolic process" 6.05788968176575 2.61990021727345 13.5636048395605 0.0020749052660288 2.91351026271332 1.04430366817412 7.11796816812991 0.282783233834042 0 0 1.23471026219056 0.773282107642214
"305" "cholesterol metabolic process" 8.55344430749611 3.17503597885706 23.0463814992451 0.0020711169907982 3.04235423510523 0.860333768286591 8.86703324523691 0.42147053697878 0 0 1.8479700535947 1
"337" "macromolecule biosynthetic process" 1.19143584508418 0.861606589798911 1.62308373333825 0.897067175618635 1.26981676088227 0.914713334021113 1.73607716947143 0.75646852083916 1.87495358926026 1.39556896062173 2.49369973877341 0.0090778518193151
"436" "siderophore metabolic process" 3.61023076711023 0.600165632816576 15.891465641976 0.494722026430607 13.755545014792 3.24598277902875 66.643597006714 0.00737712334651468 6.13400475861762 1.26763130239575 25.9862502562354 0.391252349737376
"451" "cellular response to starvation" 2.7147499632414 1.05137364497094 6.2594809456487 0.229849681567087 4.01108018328842 1.69072014335801 8.83731355946491 0.0248068733870895 1.26202215266577 0.320682764258375 3.62110652507435 1
"478" "catechol-containing compound metabolic process" 5.05623608239442 0.782406318106068 26.0969397400613 0.34964157574142 15.2477889872926 2.95377718957832 98.6444801508532 0.0157075570712677 9.20445437604259 1.70726531920989 49.6453297270753 0.194309551089868
"479" "regulation of biosynthetic process" 1.98824315962629 1.37008588842549 2.83360359065437 0.0106044671553108 1.89967768675273 1.28834357167881 2.74335576356015 0.0248068733870895 1.98309092864766 1.35010995444843 2.85527131627332 0.02357195030549
"488" "response to metal ion" 8.59017827080798 3.50544914855893 21.0615099767513 0.00139605753689212 11.0173127378063 4.51897612415836 27.3769104269679 7.38948801231316e-05 3.07397257212525 0.992863248362463 8.1467411328038 0.515465202513591
"491" "cellular response to iron ion starvation" 3.37488112360361 0.769159950753779 11.7672031697621 0.399060120929574 9.18897520079484 2.73476598087003 30.8882741542452 0.00817717050464369 3.67775618694931 0.83794027391956 12.8276545811765 0.570715358180418
"498" "regulation of gene expression" 1.99226934676885 1.38409499391664 2.81900234916275 0.00750192290702294 2.04066900706367 1.40677316029158 2.90676023188383 0.00755287804318907 2.06014082968431 1.42005248429583 2.9349110786023 0.0147036122463886
"500" "regulation of macromolecule biosynthetic process" 2.06815902513627 1.42364451579292 2.95110265710034 0.0071319583050495 1.97444141477865 1.33768823074419 2.8548802849031 0.0177175759081537 2.06155224515037 1.4020817826615 2.97152630391461 0.0181215391315754
"502" "negative regulation of macromolecule biosynthetic process" 3.18007234414703 1.53095290385088 6.22099573095303 0.0298018276838387 3.07981785787765 1.44629764194971 6.11990747888254 0.0424092456495721 1.84304952557583 0.739645616572486 4.02943020642114 0.889026634411047
"509" "negative regulation of gene expression" 2.72427100418356 1.36642465174289 5.11891769222528 0.0771149585821595 2.94882680996712 1.47820044261988 5.54430898605267 0.0282142515106234 1.92564874346311 0.861387668211431 3.89459763053361 0.661880158150266
"587" "sterol metabolic process" 7.92860155962562 3.28303056893752 19.0002265178082 0.00139605753689212 3.56465446383742 1.25027143871159 9.01550802999247 0.137167613503498 0 0 1.44876545465134 0.931161736324625
"589" "sterol catabolic process" 12.8130582995488 4.04939413834079 43.9775554635719 0.00145442752772095 3.31415064977896 0.765958407335528 11.252460990589 0.478672866429124 0 0 2.54672835589304 1
"670" "nonribosomal peptide biosynthetic process" 2.29524122199831 0.409549674898862 8.73549202671541 0.736807013964375 6.87315696520659 1.95496759833223 22.7219990309584 0.0310449229058602 3.67775618694931 0.83794027391956 12.8276545811765 0.570715358180418
"677" "regulation of nucleobase-containing compound metabolic process" 2.3192770678126 1.59104090843969 3.32295312282489 0.0020711169907982 2.20865776684344 1.49168412893342 3.20534498599974 0.00471966791679672 2.30749014242383 1.56426657902696 3.33898042878861 0.0090778518193151
"680" "siderophore biosynthetic process" 3.61023076711023 0.600165632816576 15.891465641976 0.494722026430607 13.755545014792 3.24598277902875 66.643597006714 0.00737712334651468 6.13400475861762 1.26763130239575 25.9862502562354 0.391252349737376
"697" "triglyceride biosynthetic process" 6.19154462618758 2.1490236990335 17.0058812298089 0.0150375274660567 2.42819163697213 0.583683288118541 7.67240339479348 0.695714083223481 1.07459872128562 0.119966229882008 4.55407571988898 1
