"G_D" "G" "G_LCFA" "cluster"
"steroid catabolic process" 3.67954296299362 1.72863918395621 -1 1
"cholesterol catabolic process" 3.67954296299362 1.72863918395621 -1 1
"steroid metabolic process" 2.59881530592816 1.54275839252479 -1 1
"cholesterol metabolic process" 3.0965054825403 1.60518814237087 -1 1
"sterol metabolic process" 2.98706642697501 1.83376223726709 -1 1
"sterol catabolic process" 3.67954296299362 1.72863918395621 -1 1
"alcohol catabolic process" 2.94132239296323 1.27988228600841 -1 1
"organic hydroxy compound catabolic process" 2.94132239296323 1.27988228600841 -1 1
"secondary alcohol metabolic process" 2.51021287674424 1.52937315228842 -1 1
"transition metal ion transport" 2.50444318077272 2.30501141389384 0.0209146683694794 2
"neutral lipid metabolic process" 2.50444318077272 1.18622278044898 0.0209146683694794 2
"acylglycerol metabolic process" 2.50444318077272 1.18622278044898 0.0209146683694794 2
"triglyceride metabolic process" 2.63029936849468 1.27988228600841 0.10379802642959 2
"cellular response to starvation" 1.44081932753123 2.00399080656038 0.335737234615667 2
"triglyceride biosynthetic process" 2.63029936849468 1.27988228600841 0.10379802642959 2
"cellular response to nutrient levels" 1.44081932753123 2.00399080656038 0.335737234615667 2
"glycerolipid biosynthetic process" 2.16781442537684 0.923919193780535 -0.567585611703111 2
"positive regulation of transcription, DNA-templated" 2.17358550659402 1.45502696719543 0.253859227623809 2
"positive regulation of nucleobase-containing compound metabolic process" 2.32894849308125 1.38426187705513 0.192058117284687 2
"neutral lipid biosynthetic process" 2.63029936849468 1.27988228600841 0.10379802642959 2
"acylglycerol biosynthetic process" 2.63029936849468 1.27988228600841 0.10379802642959 2
"positive regulation of RNA metabolic process" 2.17358550659402 1.45502696719543 0.253859227623809 2
"response to nitric oxide" 2.38863551683418 1.09847957914005 0.609411380894182 2
"response to bronchodilator" 2.38863551683418 1.09847957914005 0.609411380894182 2
"positive regulation of RNA biosynthetic process" 2.17358550659402 1.45502696719543 0.253859227623809 2
"positive regulation of nucleic acid-templated transcription" 2.17358550659402 1.45502696719543 0.253859227623809 2
"siderophore metabolic process" 1.85209105759026 3.7819413973594 2.61682928581448 3
"catechol-containing compound metabolic process" 2.33806382643988 3.930528154066 3.20233220367099 3
"siderophore biosynthetic process" 1.85209105759026 3.7819413973594 2.61682928581448 3
"siderophore biosynthetic process from catechol" 2.33806382643988 3.930528154066 3.20233220367099 3
"response to cadmium ion" 4.0720861837173 5.26560426425009 4.19541248932444 3
"DNA-binding transcription repressor activity" 3.66033805901482 5.18857747215702 1.19245003090372 4
"response to metal ion" 3.1026880717295 3.46170047010183 1.62010429247325 4
"response to lipid" 3.07511271061462 4.19008798750403 0.870202661981828 4
"response to copper ion" 3.40357483307788 5.0081165156004 2.19852501866777 4
"dioxygenase activity" 3.34785160247794 2.92977623108936 2.39432600273158 4
"terpenoid biosynthetic process, mevalonate-independent" 4.23417719087532 2.18043371693923 2.19271722758692 4
"alkane catabolic process" -1 5.26560426425009 -1 5
"cellular ion homeostasis" 1.57839762103485 2.83036354647718 1.35355395017862 6
"cellular metal ion homeostasis" 1.8596106286665 2.91623043433758 1.1986921654611 6
"cellular response to iron ion starvation" 1.75483668574628 3.19990397411808 1.87882584094119 6
"nonribosomal peptide biosynthetic process" 1.19864578391915 2.78097290717974 1.87882584094119 6
"cellular cation homeostasis" 1.75972024132891 2.7905539782733 1.11086448019253 6
"negative regulation of transcription, DNA-templated" 2.03171911510042 2.14507825617269 1.25784412124677 6
"cellular transition metal ion homeostasis" 1.96673955135486 3.05441239215909 1.29221303444674 6
"chemical homeostasis" 1.56858215091277 2.89353630281623 1.39670597249333 6
"ion homeostasis" 1.64290548056423 2.76448032346795 1.13004275232384 6
"negative regulation of RNA metabolic process" 1.74588785837531 2.04156459990959 1.47469217809674 6
"metal ion homeostasis" 1.6661520384784 2.94596609413415 1.02804182319238 6
"cation homeostasis" 1.57839762103485 2.83036354647718 0.949708513554296 6
"cellular chemical homeostasis" 1.49559698523534 2.97195848218073 1.62010429247325 6
"inorganic ion homeostasis" 1.41721860787039 2.86424248516032 1.20080452538466 6
