"G_D" "G" "G_LCFA" "cluster"
"NADH dehydrogenase activity" 6.36399050668606 5.52230140575776 4.85074289393347 1
"NADH dehydrogenase (ubiquinone) activity" 5.86286486898442 4.97649284236142 4.30957539845554 1
"NADH dehydrogenase complex" 6.39860296063198 5.75131890241916 5.12126641879723 1
"respiratory chain complex I" 6.39860296063198 5.75131890241916 5.12126641879723 1
"plasma membrane respiratory chain complex I" 6.39860296063198 5.75131890241916 5.12126641879723 1
"NADH dehydrogenase (quinone) activity" 6.13473879250014 5.27440971889121 4.60369458620428 1
"monosaccharide metabolic process" 0.10767081985908 1.8732075172928 2.34572882086461 2
"pyruvate metabolic process" -0.257277758594695 1.98993426377362 2.2257481803194 2
"glycolytic process" 0.802466023270609 3.18994359165734 3.30868098262117 2
"tricarboxylic acid cycle" 1.1162606612097 3.04923724334623 2.61418996122323 2
"nucleoside diphosphate phosphorylation" 0.501811133462656 2.72950313138132 3.04808082320256 2
"ATP generation from ADP" 0.802466023270609 3.18994359165734 3.30868098262117 2
"phosphate ion transport" 1.04417790974218 3.15643498704008 3.89432142529305 2
"aspartate family amino acid biosynthetic process" -1.14979028702667 1.93838625761967 2.27878703029608 2
"nucleoside diphosphate metabolic process" 0.767687010020874 2.47761434850661 2.60176221385454 2
"purine nucleoside diphosphate metabolic process" 0.595284868453048 2.86749828879506 2.89314209454813 2
"purine ribonucleoside diphosphate metabolic process" 0.595284868453048 2.86749828879506 2.89314209454813 2
"ribonucleoside diphosphate metabolic process" 0.501811133462656 3.06415370207274 3.04808082320256 2
"organic cation transport" 0.500485851610453 3.04944362541481 4.52771821214266 2
"ammonium transport" 0.177864921214843 2.5636935044451 3.52636892773969 2
"ADP metabolic process" 0.695185533081204 3.01974708450847 3.08615563516764 2
"nucleotide phosphorylation" 0.501811133462656 2.72950313138132 3.04808082320256 2
"oxidative phosphorylation" 4.52344122482722 3.69736122156847 3.71656189281307 3
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 4.44611244244208 4.6343270833036 3.95979707824859 3
"ATP synthesis coupled electron transport" 4.83884650660507 3.7866386946324 3.12618930069877 3
"plasma membrane respirasome" 4.83884650660507 4.69675437044598 4.03592265251783 3
"respiratory chain complex" 4.25499031496694 4.11321362859978 4.30165914512794 3
"threonine metabolic process" -1 5.69673368812173 5.03589023211953 4
"threonine biosynthetic process" -1 5.37298580712882 5.12126641879723 4
"quaternary ammonium group transport" 1.91678692631259 4.95226811305049 5.12126641879723 4
"amino-acid betaine transport" 1.91678692631259 4.95226811305049 5.12126641879723 4
"glycine betaine transport" 1.91678692631259 4.95226811305049 5.12126641879723 4
"aerobic respiration" 1.82415710408335 3.07116989644543 2.74217820363208 5
"energy derivation by oxidation of organic compounds" 1.72541695345293 2.26521578699701 1.97192548157933 5
"oxidoreductase activity, acting on NAD(P)H" 2.9769632996569 2.67303298548773 2.15165712744884 5
"cellular respiration" 1.99635706216216 2.62032404350098 2.38702839286185 5
