Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
03_12_AN_F1C14_1	03_12_AN_F1C14_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25004506.0	0.0	151.0	63.0	12.284402813866786	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
03_12_AN_F1C14_2	03_12_AN_F1C14_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25004506.0	0.0	151.0	63.0	12.979993361721261	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
03_12_AN_F2C14_1	03_12_AN_F2C14_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22885775.0	0.0	151.0	63.0	12.526208973492997	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
03_12_AN_F2C14_2	03_12_AN_F2C14_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22885775.0	0.0	151.0	63.0	14.053337148927788	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
03_12_ANmF1C14_1	03_12_ANmF1C14_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23923290.0	0.0	151.0	63.0	11.82617609433174	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
03_12_ANmF1C14_2	03_12_ANmF1C14_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23923290.0	0.0	151.0	63.0	13.550545868628081	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
03_12_ANmF2C14_1	03_12_ANmF2C14_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22379740.0	0.0	151.0	63.0	11.832666602074996	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
03_12_ANmF2C14_2	03_12_ANmF2C14_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22379740.0	0.0	151.0	62.0	13.101452829813557	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
10_3MMmADN_F1C1_1	10_3MMmADN_F1C1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26393692.0	0.0	151.0	64.0	16.09608195534923	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	fail	fail	fail
10_3MMmADN_F1C1_2	10_3MMmADN_F1C1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26393692.0	0.0	151.0	64.0	14.311954126336593	151.0	151	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
10_3MMmADNmF1C1_1	10_3MMmADNmF1C1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23562816.0	0.0	151.0	64.0	15.983299968500603	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	fail	fail	warn
10_3MMmADNmF1C1_2	10_3MMmADNmF1C1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23562816.0	0.0	151.0	64.0	14.69292591484306	151.0	151	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
11_10_AN_F1C7_1	11_10_AN_F1C7_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29774152.0	0.0	151.0	64.0	14.273472022337833	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
11_10_AN_F1C7_2	11_10_AN_F1C7_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29774152.0	0.0	151.0	64.0	12.428684724369035	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
11_10_AN_F2C7_1	11_10_AN_F2C7_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27768463.0	0.0	151.0	64.0	14.637910413704466	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
11_10_AN_F2C7_2	11_10_AN_F2C7_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27768463.0	0.0	151.0	64.0	12.864367322965084	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
11_10_ANmF1C7_1	11_10_ANmF1C7_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29939367.0	0.0	151.0	64.0	15.252708819701887	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
11_10_ANmF1C7_2	11_10_ANmF1C7_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29939367.0	0.0	151.0	64.0	13.276458655124715	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
11_10_ANmF2C7_1	11_10_ANmF2C7_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29746213.0	0.0	151.0	64.0	14.893481126799749	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
11_10_ANmF2C7_2	11_10_ANmF2C7_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29746213.0	0.0	151.0	64.0	13.564988378178484	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
12_1_C11R6_F1_1	12_1_C11R6_F1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29717693.0	0.0	151.0	64.0	13.620099386267759	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	fail	fail	fail
12_1_C11R6_F1_2	12_1_C11R6_F1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29717693.0	0.0	151.0	64.0	12.017842910702322	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
12_1_C11R6_F2_1	12_1_C11R6_F2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29596055.0	0.0	151.0	63.0	13.733379145042315	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
12_1_C11R6_F2_2	12_1_C11R6_F2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29596055.0	0.0	151.0	63.0	12.098698646938011	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
12_1_C11R6mF1_1	12_1_C11R6mF1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29864720.0	0.0	151.0	63.0	14.098200214897247	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
12_1_C11R6mF1_2	12_1_C11R6mF1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29864720.0	0.0	151.0	63.0	12.470826499946675	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
12_1_C11R6mF2_1	12_1_C11R6mF2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29654716.0	0.0	151.0	64.0	14.112164139368154	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	fail	fail	fail
12_1_C11R6mF2_2	12_1_C11R6mF2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29654716.0	0.0	151.0	64.0	12.612312665472366	151.0	151	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
12_1_C15R_F1_1	12_1_C15R_F1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29731220.0	0.0	151.0	62.0	6.869183935234606	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
